iter	Logloss
0	0.6738705957
1	0.655395831
2	0.6378354543
3	0.6234993233
4	0.6100353986
5	0.5975275389
6	0.588878854
7	0.5802218252
8	0.5712077283
9	0.5634547503
10	0.5563856835
11	0.5494681007
12	0.5437007617
13	0.5380157968
14	0.5336322107
15	0.5289849996
16	0.5239656139
17	0.5193958186
18	0.5157775926
19	0.5121240021
20	0.5086889279
21	0.5058084693
22	0.5028744741
23	0.5003463651
24	0.4977444571
25	0.4951964643
26	0.4928528823
27	0.4910213264
28	0.4890434803
29	0.4873919304
30	0.4857285167
31	0.4837139225
32	0.4824828354
33	0.4812980766
34	0.4799301239
35	0.4784050686
36	0.4770082617
37	0.4759346178
38	0.4748654486
39	0.4739994286
40	0.4726106501
41	0.4714653646
42	0.4706626929
43	0.4696485828
44	0.4689986062
45	0.4680506789
46	0.4672968631
47	0.4664843335
48	0.4657546071
49	0.4650061954
50	0.46445764
51	0.4636195869
52	0.4627522969
53	0.4621330629
54	0.4611697181
55	0.4604930152
56	0.4597103829
57	0.4591156884
58	0.458458247
59	0.4579231409
60	0.4571391881
61	0.4566444595
62	0.4561091474
63	0.4557538497
64	0.4552775667
65	0.4546806432
66	0.4541769778
67	0.4537199899
68	0.4532572866
69	0.4528163218
70	0.4523371748
71	0.4519575185
72	0.451510851
73	0.4511010788
74	0.4507376602
75	0.4503769962
76	0.449946764
77	0.4495493982
78	0.4491950341
79	0.4486482703
80	0.4482992052
81	0.447987149
82	0.4476033209
83	0.4471061362
84	0.4467976337
85	0.4463424458
86	0.4459692577
87	0.4456525543
88	0.4451916468
89	0.4445795959
90	0.4442309052
91	0.443876007
92	0.4434360347
93	0.4429872771
94	0.4427084405
95	0.4422512129
96	0.4419478664
97	0.4414835986
98	0.4410375493
99	0.4406027583
100	0.4401400844
101	0.4398451364
102	0.4395718849
103	0.4393513205
104	0.4390300625
105	0.4386728555
106	0.4383676081
107	0.4380346545
108	0.4377958422
109	0.4375743862
110	0.4373749842
111	0.4369947518
112	0.4366697887
113	0.4364027361
114	0.4361207076
115	0.4357207638
116	0.4353344922
117	0.435122688
118	0.4348082009
119	0.4345206884
120	0.4341819858
121	0.4339616653
122	0.4336720541
123	0.4333623867
124	0.4330248112
125	0.432797295
126	0.4325008835
127	0.4321664874
128	0.4318441192
129	0.4315760026
130	0.4313852766
131	0.4311663313
132	0.4308651633
133	0.4304194378
134	0.4300521964
135	0.4298030342
136	0.4296590235
137	0.4293727894
138	0.4290720924
139	0.4287666053
140	0.4285754419
141	0.4283093061
142	0.4281225585
143	0.4278236026
144	0.427581939
145	0.4273727758
146	0.427107683
147	0.4269213813
148	0.4266730392
149	0.4262397201
150	0.4260052437
151	0.4256738126
152	0.4254049011
153	0.4252498466
154	0.4249735544
155	0.424767474
156	0.4244261135
157	0.4241400266
158	0.4238619638
159	0.4235526749
160	0.4233062548
161	0.4230169254
162	0.4228440099
163	0.4226422653
164	0.4222258904
165	0.4219079969
166	0.4217696468
167	0.4214685966
168	0.4211731607
169	0.4208681699
170	0.4206758752
171	0.4204745091
172	0.4202179746
173	0.4200967159
174	0.4199789394
175	0.4197620255
176	0.4195651593
177	0.4193269863
178	0.4190957103
179	0.4187752178
180	0.418471926
181	0.4181942123
182	0.4180346284
183	0.4178632354
184	0.4176748056
185	0.4173960868
186	0.4169982668
187	0.4167703931
188	0.4166048415
189	0.4163669166
190	0.4160694369
191	0.4157926274
192	0.4156122092
193	0.4154081264
194	0.415002955
195	0.414631609
196	0.4143037946
197	0.4139799628
198	0.4137715188
199	0.4134535412
200	0.4131686318
201	0.4128005703
202	0.4125996585
203	0.4123117842
204	0.4121418841
205	0.411881615
206	0.4114918234
207	0.4111615824
208	0.4109986257
209	0.4106507844
210	0.4104608659
211	0.410168416
212	0.409884436
213	0.4095124003
214	0.4092102692
215	0.4088960976
216	0.4085674505
217	0.4083291807
218	0.4081016435
219	0.4078354741
220	0.407595951
221	0.4074162983
222	0.4072396903
223	0.4069064129
224	0.4066260203
225	0.4062957162
226	0.4060555497
227	0.4057368698
228	0.4054662257
229	0.4052157514
230	0.4049903295
231	0.4047315787
232	0.404447931
233	0.4041774551
234	0.4038619462
235	0.4034860539
236	0.4031661796
237	0.4029016672
238	0.4026752528
239	0.4023685882
240	0.4020616754
241	0.4017363338
242	0.4013151562
243	0.4009305752
244	0.4006250376
245	0.4003178094
246	0.4000931151
247	0.3999386662
248	0.3996998708
249	0.3994554903
250	0.3991798205
251	0.3988445076
252	0.3985988319
253	0.3983722199
254	0.3980766999
255	0.3978203505
256	0.3974622729
257	0.3970979291
258	0.3967332614
259	0.3963611542
260	0.3959636159
