iter	Passed	Remaining
0	154	61708
1	163	32614
2	170	22502
3	179	17767
4	185	14671
5	195	12820
6	201	11311
7	212	10392
8	219	9522
9	228	8929
10	235	8313
11	244	7912
12	251	7475
13	260	7192
14	267	6863
15	275	6621
16	282	6354
17	291	6186
18	298	5976
19	305	5802
20	311	5624
21	319	5489
22	326	5347
23	332	5214
24	340	5110
25	348	5019
26	356	4931
27	363	4830
28	371	4755
29	378	4670
30	385	4594
31	392	4514
32	398	4435
33	406	4378
34	414	4324
35	423	4284
36	431	4234
37	440	4200
38	449	4157
39	457	4121
40	467	4093
41	476	4058
42	486	4037
43	494	4003
44	504	3977
45	512	3942
46	521	3916
47	528	3873
48	536	3841
49	542	3800
50	551	3771
51	557	3731
52	564	3696
53	571	3658
54	577	3622
55	585	3595
56	591	3560
57	599	3532
58	606	3505
59	616	3491
60	624	3472
61	634	3458
62	641	3434
63	654	3436
64	664	3422
65	671	3396
66	679	3377
67	687	3354
68	695	3337
69	705	3323
70	715	3315
71	722	3293
72	733	3287
73	740	3262
74	749	3249
75	756	3225
76	765	3211
77	772	3188
78	781	3175
79	788	3155
80	798	3142
81	804	3120
82	814	3109
83	820	3088
84	829	3074
85	836	3053
86	844	3036
87	851	3017
88	859	3002
89	866	2983
90	872	2961
91	880	2948
92	886	2927
93	895	2914
94	901	2893
95	908	2878
96	916	2862
97	924	2848
98	933	2838
99	942	2828
100	949	2810
101	956	2794
102	962	2776
103	969	2759
104	977	2746
105	983	2727
106	991	2713
107	997	2696
108	1003	2679
109	1010	2664
110	1017	2647
111	1025	2635
112	1031	2619
113	1038	2605
114	1044	2589
115	1051	2574
116	1059	2562
117	1065	2546
118	1073	2534
119	1081	2523
120	1091	2516
121	1098	2502
122	1106	2492
123	1114	2481
124	1123	2471
125	1130	2458
126	1140	2450
127	1147	2437
128	1155	2427
129	1163	2415
130	1171	2405
131	1178	2392
132	1186	2381
133	1194	2370
134	1202	2360
135	1210	2349
136	1218	2339
137	1226	2327
138	1234	2318
139	1242	2306
140	1249	2295
141	1257	2283
142	1264	2272
143	1272	2262
144	1280	2251
145	1288	2241
146	1295	2230
147	1303	2219
148	1309	2206
149	1316	2194
150	1323	2182
151	1332	2174
152	1340	2163
153	1349	2155
154	1357	2145
155	1366	2137
156	1374	2127
157	1383	2119
158	1390	2108
159	1398	2097
160	1405	2086
161	1411	2074
162	1419	2063
163	1425	2050
164	1433	2041
165	1439	2029
166	1447	2019
167	1453	2007
168	1459	1995
169	1467	1986
170	1474	1973
171	1481	1964
172	1487	1952
173	1496	1943
174	1502	1931
175	1508	1919
176	1516	1910
177	1522	1899
178	1530	1889
179	1536	1878
180	1545	1870
181	1551	1858
182	1558	1848
183	1565	1837
184	1572	1827
185	1580	1817
186	1586	1807
187	1593	1796
188	1599	1786
189	1606	1775
190	1613	1766
191	1620	1755
192	1627	1746
193	1634	1735
194	1641	1726
195	1648	1715
196	1654	1705
197	1662	1696
198	1668	1685
199	1675	1675
200	1682	1665
201	1689	1656
202	1696	1646
203	1702	1636
204	1710	1627
205	1717	1617
206	1724	1607
207	1730	1597
208	1736	1587
209	1747	1580
