income,age,loan_amount,employment_years,credit_score,existing_debt,num_credit_lines,num_delinquencies_2yr,loan_term_months,interest_rate,home_ownership,loan_purpose,employment_type,default
12000.0,34,500.0,8.4,708.0,12105.61,7,0,12,11.24,RENT,medical,salaried,0
107367.86,65,26573.91,16.8,573.0,31246.63,17,0,36,23.54,MORTGAGE,car,salaried,0
14194.34,64,37007.31,6.4,698.0,30459.98,7,0,24,22.33,RENT,credit_card,salaried,1
133686.12,65,19412.2,2.6,579.0,0.0,16,0,84,20.14,RENT,car,salaried,0
99782.13,43,27847.65,5.7,646.0,24851.13,14,0,60,18.13,MORTGAGE,credit_card,salaried,0
49521.47,35,2681.23,13.6,759.0,39656.43,3,1,60,14.9,OTHER,credit_card,salaried,0
71646.38,68,14195.62,1.8,765.0,18142.04,19,0,36,18.36,RENT,home_improvement,salaried,0
80863.26,37,14445.03,12.7,686.0,1955.85,7,2,84,17.31,OWN,debt_consolidation,retired,0
55416.96,36,29956.39,8.5,747.0,568.14,1,1,84,5.76,MORTGAGE,debt_consolidation,salaried,0
50055.14,35,33606.82,1.5,826.0,3808.01,10,0,60,9.69,RENT,car,self_employed,0
69425.78,28,24666.4,4.2,821.0,45901.35,10,0,24,24.35,RENT,small_business,salaried,0
52268.45,26,6799.87,5.8,707.0,35898.69,6,0,60,16.32,MORTGAGE,credit_card,salaried,0
102938.92,44,8924.8,4.1,677.0,10566.06,14,2,60,8.46,MORTGAGE,debt_consolidation,salaried,0
48604.85,41,37001.32,8.3,667.0,28442.9,13,3,84,14.55,OWN,small_business,salaried,1
97129.29,27,27900.71,7.3,745.0,14515.57,13,0,24,16.05,OWN,debt_consolidation,salaried,0
61649.22,40,19008.86,10.1,723.0,11703.74,4,1,48,12.51,OWN,debt_consolidation,salaried,0
38386.29,68,500.0,9.3,692.0,32560.9,0,0,48,14.04,RENT,credit_card,unemployed,0
86259.31,67,29724.94,4.5,730.0,16348.71,1,2,60,16.45,OWN,home_improvement,unemployed,1
67716.6,35,42289.7,10.7,637.0,14058.22,10,0,48,26.99,RENT,credit_card,salaried,0
42270.73,51,24665.42,8.2,663.0,19662.15,9,0,36,18.34,MORTGAGE,credit_card,self_employed,0
55967.26,37,21443.82,9.1,746.0,4560.53,10,0,24,17.81,MORTGAGE,debt_consolidation,salaried,0
53184.33,42,31589.66,6.1,473.0,33921.6,1,0,12,18.68,RENT,credit_card,salaried,0
44615.83,29,30571.84,1.8,665.0,12870.91,14,0,24,18.43,MORTGAGE,debt_consolidation,self_employed,0
12000.0,37,8805.63,4.3,679.0,15077.98,14,0,12,14.07,MORTGAGE,debt_consolidation,salaried,1
80614.67,59,44204.14,2.3,754.0,23616.22,16,0,36,12.54,MORTGAGE,car,salaried,0
,30,30419.22,6.1,709.0,24943.78,14,0,24,19.7,MORTGAGE,debt_consolidation,salaried,0
78516.44,57,12395.91,3.6,682.0,21967.79,1,0,24,11.11,RENT,credit_card,unemployed,0
27406.67,41,17237.3,1.6,514.0,10299.88,2,1,60,29.3,MORTGAGE,debt_consolidation,salaried,1
96494.71,58,26017.29,1.6,719.0,0.0,15,3,12,22.33,MORTGAGE,car,salaried,0
12000.0,62,10959.19,5.0,690.0,14656.98,7,0,24,20.83,OWN,debt_consolidation,salaried,1
73845.18,26,500.0,1.9,706.0,39255.38,15,0,36,13.15,RENT,home_improvement,salaried,0
85661.55,58,35497.77,0.3,560.0,36588.13,7,0,24,19.54,OWN,car,salaried,1
87632.0,68,30319.0,4.9,658.0,23426.33,13,1,84,17.05,RENT,small_business,self_employed,0
109585.65,28,35791.68,14.3,663.0,18368.62,5,0,12,17.89,MORTGAGE,major_purchase,salaried,0
98090.14,26,500.0,6.1,611.0,2849.13,18,0,84,21.92,MORTGAGE,debt_consolidation,retired,0
49553.68,67,6148.81,8.0,611.0,11790.54,9,0,24,14.3,OTHER,credit_card,salaried,0
84652.01,61,1031.68,6.7,679.0,17226.89,11,0,60,20.69,RENT,credit_card,unemployed,0
120300.85,24,500.0,1.3,644.0,21666.48,12,1,60,17.45,OWN,home_improvement,salaried,0
127165.38,52,8987.06,9.3,710.0,23100.34,4,0,60,10.65,MORTGAGE,major_purchase,self_employed,0
78557.31,39,8714.27,3.6,571.0,17708.29,3,0,36,9.27,MORTGAGE,medical,self_employed,0
71187.85,55,21362.73,22.4,709.0,13497.27,5,1,84,14.18,OTHER,small_business,retired,0
28154.11,52,32101.04,2.3,673.0,1590.79,14,1,84,18.09,RENT,credit_card,salaried,0
72141.39,60,37535.89,2.3,,32470.97,3,0,12,8.91,RENT,major_purchase,salaried,0
112388.95,28,500.0,6.1,535.0,5407.89,13,0,24,29.46,MORTGAGE,credit_card,salaried,1
73576.95,52,28524.65,18.3,692.0,24777.49,16,1,84,14.91,RENT,debt_consolidation,salaried,0
100701.48,32,43064.73,2.6,651.0,3552.96,11,1,24,23.7,RENT,major_purchase,salaried,0
84330.97,28,27156.01,7.7,668.0,6377.71,6,0,60,10.12,OWN,debt_consolidation,unemployed,0
78343.58,66,27961.62,6.5,619.0,10333.88,2,0,36,13.55,RENT,credit_card,self_employed,0
78562.81,47,500.0,9.9,620.0,2932.74,6,0,36,24.08,RENT,medical,salaried,0
97651.94,68,3456.84,2.1,607.0,3178.59,0,0,60,15.91,OWN,car,salaried,1
51908.75,54,11970.44,10.8,721.0,32458.8,19,0,60,10.44,OWN,debt_consolidation,unemployed,1
37075.57,31,7372.27,11.9,701.0,0.0,5,1,60,24.79,RENT,debt_consolidation,salaried,0
80591.3,57,500.0,4.3,743.0,852.45,19,0,24,13.35,RENT,credit_card,self_employed,0
23986.29,22,39226.89,11.2,717.0,26886.84,1,0,24,11.1,RENT,debt_consolidation,salaried,1
90585.09,65,22805.97,9.3,581.0,29377.7,14,0,36,18.99,MORTGAGE,debt_consolidation,self_employed,0
49312.63,38,22438.26,5.2,753.0,3747.3,4,0,84,14.44,MORTGAGE,medical,salaried,0
85477.99,22,10549.61,1.9,598.0,10406.94,9,0,24,18.57,RENT,car,self_employed,0
79394.89,49,13336.33,8.8,751.0,18278.38,10,1,12,18.96,MORTGAGE,small_business,salaried,0
60377.99,54,500.0,6.6,767.0,14865.36,11,1,36,9.68,OWN,credit_card,salaried,0
33522.18,61,3450.71,13.4,550.0,11258.93,2,0,60,19.44,RENT,credit_card,salaried,0
62717.56,63,20807.64,4.5,660.0,4492.03,14,1,48,10.22,RENT,home_improvement,self_employed,0
61384.2,43,34351.53,4.4,753.0,32108.96,5,0,84,13.57,MORTGAGE,debt_consolidation,salaried,0
75968.28,24,14259.14,1.4,745.0,14713.89,9,0,60,14.46,MORTGAGE,major_purchase,self_employed,0
87558.55,54,18294.73,3.6,718.0,0.0,2,2,60,15.14,OWN,major_purchase,salaried,0
58035.16,60,57144.83,7.5,613.0,22160.1,18,0,36,22.1,RENT,medical,salaried,0
53506.59,69,33746.83,1.7,646.0,29113.9,2,0,12,12.75,RENT,credit_card,salaried,0
48606.18,45,500.0,4.6,648.0,33245.47,5,0,60,16.56,RENT,major_purchase,unemployed,1
34596.51,26,20437.43,13.3,714.0,11184.93,1,1,48,18.36,RENT,car,self_employed,0
58858.61,24,13799.29,9.7,677.0,26548.4,12,1,36,11.98,MORTGAGE,credit_card,self_employed,0
62381.05,58,30095.39,5.3,597.0,11175.42,8,0,36,19.23,MORTGAGE,credit_card,salaried,0
